454	818	988	5:SP3_SP-NON_SP2	S[5]	C[5]	Se[5,5]	3:3:	2:2:3:	3:2:2:	Se[5,5]-3:C[5]-3:	S[5]-2:N[5]-2:N-3:	C[5,5]-3:O[5]-2:S[5]-2:	S[5](Se[5,5]C[5,5]O[5])(C[5]N[5]N)	C[5](S[5]Se[5,5])(N[5]C[5,5])(NCC)	Se[5,5](C[5,5]C[5]N[5])(O[5]C[5])(S[5]C[5])	S[5](Se[5,5]C[5,5]O[5])(C[5]N[5]N){2|C<3>}	C[5](S[5]Se[5,5])(N[5]C[5,5])(NCC){1|C<3>,1|O<2>}	Se[5,5](C[5,5]C[5]N[5])(O[5]C[5])(S[5]C[5]){1|C<3>,1|C<4>,1|N<3>}	93.2500	0.000	1	93.2500	0.000	1	93.2500	0.000	1	93.2500	0.000	1	93.2500	0.000	1	93.2500	0.000	1
454	818	1000	5:SP3_SP-NON_SP2	S[5]	C[5,6]	Se[5]	3:2:	3:3:2:	2:2:	C[5,6]-3:Se[5]-2:	C[5,6]-3:C[6]-3:S[5]-2:	N[5]-2:S[5]-2:	S[5](C[5,6]C[5,6]C[6])(Se[5]N[5])	C[5,6](C[5,6]N[5]N[6])(C[6]C[5,6]Br)(S[5]Se[5])	Se[5](N[5]C[5,6])(S[5]C[5,6])	S[5](C[5,6]C[5,6]C[6])(Se[5]N[5]){1|Br<1>,1|C<3>,1|N<3>}	C[5,6](C[5,6]N[5]N[6])(C[6]C[5,6]Br)(S[5]Se[5]){1|C<3>,1|C<4>,1|S<2>}	Se[5](N[5]C[5,6])(S[5]C[5,6]){1|C<3>,1|N<3>}	91.1982	0.117	2	91.1982	0.117	2	91.4852	0.420	11	91.4852	0.420	11	91.4852	0.420	11	91.4852	0.420	11
454	818	1000	5:SP3_SP-NON_SP2	S[5]	C[5,6]	Se[5]	3:2:	3:3:2:	2:2:	C[5,6]-3:Se[5]-2:	C[5,6]-3:C[6]-3:S[5]-2:	N[5]-2:S[5]-2:	S[5](C[5,6]C[5,6]C[6])(Se[5]N[5])	C[5,6](C[5,6]N[5]N[6])(C[6]C[5,6]C)(S[5]Se[5])	Se[5](N[5]C[5,6])(S[5]C[5,6])	S[5](C[5,6]C[5,6]C[6])(Se[5]N[5]){1|C<3>,1|C<4>,1|N<3>}	C[5,6](C[5,6]N[5]N[6])(C[6]C[5,6]C)(S[5]Se[5]){1|C<3>,1|C<4>,1|S<2>}	Se[5](N[5]C[5,6])(S[5]C[5,6]){1|C<3>,1|N<3>}	91.8237	0.000	1	91.8237	0.000	1	91.4852	0.420	11	91.4852	0.420	11	91.4852	0.420	11	91.4852	0.420	11
454	818	1000	5:SP3_SP-NON_SP2	S[5]	C[5,6]	Se[5]	3:2:	3:3:2:	2:2:	C[5,6]-3:Se[5]-2:	C[5,6]-3:C[6]-3:S[5]-2:	N[5]-2:S[5]-2:	S[5](C[5,6]C[5,6]C[6])(Se[5]N[5])	C[5,6](C[5,6]N[5]N[6])(C[6]C[5,6]Cl)(S[5]Se[5])	Se[5](N[5]C[5,6])(S[5]C[5,6])	S[5](C[5,6]C[5,6]C[6])(Se[5]N[5]){1|Cl<1>,1|C<3>,1|N<3>}	C[5,6](C[5,6]N[5]N[6])(C[6]C[5,6]Cl)(S[5]Se[5]){1|C<3>,1|C<4>,1|S<2>}	Se[5](N[5]C[5,6])(S[5]C[5,6]){1|C<3>,1|N<3>}	91.5147	0.457	8	91.5147	0.457	8	91.4852	0.420	11	91.4852	0.420	11	91.4852	0.420	11	91.4852	0.420	11
466	2	2	0:SP3_SP3_SP3	C[6]	B[5]	B[5]	3:4:3:3:	4:2:2:	4:2:2:	C[6,6a]-3:C[6]-4:B[5]-3:B[5]-3:	C[6]-4:O[5]-2:O[5]-2:	C[6]-4:O[5]-2:O[5]-2:	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(B[5]O[5]2)2	B[5](C[6]C[6,6a]B[5]C[6])(O[5]C[5])2	B[5](C[6]C[6,6a]B[5]C[6])(O[5]C[5])2	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(B[5]O[5]2)2{2|C<3>,3|H<1>,5|C<4>}	B[5](C[6]C[6,6a]B[5]C[6])(O[5]C[5])2{2|C<3>,2|H<1>,2|O<2>,5|C<4>}	B[5](C[6]C[6,6a]B[5]C[6])(O[5]C[5])2{2|C<3>,2|H<1>,2|O<2>,5|C<4>}	101.3020	0.000	1	101.3020	0.000	1	101.3020	0.000	1	101.3020	0.000	1	101.3020	0.000	1	101.3020	0.000	1
466	2	466	0:SP3_SP3_SP3	C[6]	B[5]	C[6]	3:4:3:3:	4:2:2:	4:4:1:1:	C[6,6a]-3:C[6]-4:B[5]-3:B[5]-3:	C[6]-4:O[5]-2:O[5]-2:	C[6]-4:C[6]-4:H-1:H-1:	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(B[5]O[5]2)2	B[5](C[6]C[6,6a]B[5]C[6])(O[5]C[5])2	C[6](C[6]C[6,6a]B[5]2)(C[6]C[6]HH)(H)2	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(B[5]O[5]2)2{2|C<3>,3|H<1>,5|C<4>}	B[5](C[6]C[6,6a]B[5]C[6])(O[5]C[5])2{2|C<3>,2|H<1>,2|O<2>,5|C<4>}	C[6](C[6]C[6,6a]B[5]2)(C[6]C[6]HH)(H)2{2|C<3>,2|H<1>,4|O<2>}	109.4895	1.566	2	109.4895	1.566	2	109.4895	1.566	2	109.4895	1.566	2	112.7412	3.266	14	112.7412	3.266	14
466	2	466	0:SP3_SP3_SP3	C[6]	B[5]	C[6]	4:4:3:1:	4:2:2:	4:3:4:1:	C[6]-4:C[6]-4:B[5]-3:H-1:	C[6]-4:O[5]-2:O[5]-2:	C[6]-4:C[6]-3:C-4:H-1:	C[6](C[6]C[6]CH)(C[6]C[6]HH)(B[5]O[5]2)(H)	B[5](C[6]C[6]2H)(O[5]C[5])2	C[6](C[6]B[5]C[6]H)(C[6]C[6]O)(CC[6a]HO)(H)	C[6](C[6]C[6]CH)(C[6]C[6]HH)(B[5]O[5]2)(H){1|O<1>,2|H<1>,3|C<4>}	B[5](C[6]C[6]2H)(O[5]C[5])2{1|C<3>,3|H<1>,6|C<4>}	C[6](C[6]B[5]C[6]H)(C[6]C[6]O)(CC[6a]HO)(H){1|C<4>,2|O<2>,4|H<1>}	116.5514	0.771	5	116.5514	0.771	5	116.5514	0.771	5	116.5514	0.771	5	112.7412	3.266	14	112.7412	3.266	14
466	2	466	0:SP3_SP3_SP3	C[6]	B[5]	C[6]	4:4:3:1:	4:2:2:	4:4:1:1:	C[6]-4:C[6]-4:B[5]-3:H-1:	C[6]-4:O[5]-2:O[5]-2:	C[6]-4:C[6]-4:H-1:H-1:	C[6](C[6]C[5]C[6]O)(C[6]C[6]HH)(B[5]O[5]2)(H)	B[5](C[6]C[6]2H)(O[5]C[5])2	C[6](C[6]B[5]C[6]H)(C[6]C[6]HH)(H)2	C[6](C[6]C[5]C[6]O)(C[6]C[6]HH)(B[5]O[5]2)(H){1|O<1>,1|O<2>,3|H<1>,4|C<4>}	B[5](C[6]C[6]2H)(O[5]C[5])2{1|C<3>,1|O<2>,2|H<1>,6|C<4>}	C[6](C[6]B[5]C[6]H)(C[6]C[6]HH)(H)2{1|C<3>,1|C<4>,2|H<1>,3|O<2>}	113.7030	0.000	1	113.7030	0.000	1	110.5762	1.535	6	110.5762	1.535	6	112.7412	3.266	14	112.7412	3.266	14
466	2	466	0:SP3_SP3_SP3	C[6]	B[5]	C[6]	4:4:3:1:	4:2:2:	4:4:1:1:	C[6]-4:C[6]-4:B[5]-3:H-1:	C[6]-4:O[5]-2:O[5]-2:	C[6]-4:C[6]-4:H-1:H-1:	C[6](C[6]C[6]CH)(C[6]C[6]HH)(B[5]O[5]2)(H)	B[5](C[6]C[6]2H)(O[5]C[5])2	C[6](C[6]B[5]C[6]H)(C[6]C[6]HH)(H)2	C[6](C[6]C[6]CH)(C[6]C[6]HH)(B[5]O[5]2)(H){1|O<1>,2|H<1>,3|C<4>}	B[5](C[6]C[6]2H)(O[5]C[5])2{1|C<3>,3|H<1>,6|C<4>}	C[6](C[6]B[5]C[6]H)(C[6]C[6]HH)(H)2{1|C<3>,1|C<4>,2|O<2>,3|H<1>}	109.9508	0.105	5	109.9508	0.105	5	110.5762	1.535	6	110.5762	1.535	6	112.7412	3.266	14	112.7412	3.266	14
466	2	466	0:SP3_SP3_SP3	C[6]	B[5]	C[6]	4:4:3:1:	4:2:2:	4:4:3:2:	C[6]-4:C[6]-4:B[5]-3:H-1:	C[6]-4:O[5]-2:O[5]-2:	C[5]-4:C[6]-4:C[6]-3:O-2:	C[6](C[6]C[5]C[6]O)(C[6]C[6]HH)(B[5]O[5]2)(H)	B[5](C[6]C[6]2H)(O[5]C[5])2	C[6](C[5]C[5]O[5]H)(C[6]B[5]C[6]H)(C[6]C[6]O)(OH)	C[6](C[6]C[5]C[6]O)(C[6]C[6]HH)(B[5]O[5]2)(H){1|O<1>,1|O<2>,3|H<1>,4|C<4>}	B[5](C[6]C[6]2H)(O[5]C[5])2{1|C<3>,1|O<2>,2|H<1>,6|C<4>}	C[6](C[5]C[5]O[5]H)(C[6]B[5]C[6]H)(C[6]C[6]O)(OH){2|C<4>,3|O<2>,6|H<1>}	113.1840	0.000	1	113.1840	0.000	1	113.1840	0.000	1	113.1840	0.000	1	112.7412	3.266	14	112.7412	3.266	14
466	2	643	0:SP3_SP2_SP3	C[6]	B[5]	C[6,6a]	3:4:3:3:	4:2:2:	3:4:3:	C[6,6a]-3:C[6]-4:B[5]-3:B[5]-3:	C[6]-4:O[5]-2:O[5]-2:	C[6,6a]-3:C[6]-4:C[6a]-3:	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(B[5]O[5]2)2	B[5](C[6]C[6,6a]B[5]C[6])(O[5]C[5])2	C[6,6a](C[6,6a]C[6a]C[6])(C[6]B[5]2C[6])(C[6a]C[6a]H)	C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]HH)(B[5]O[5]2)2{2|C<3>,3|H<1>,5|C<4>}	B[5](C[6]C[6,6a]B[5]C[6])(O[5]C[5])2{2|C<3>,2|H<1>,2|O<2>,5|C<4>}	C[6,6a](C[6,6a]C[6a]C[6])(C[6]B[5]2C[6])(C[6a]C[6a]H){1|C<3>,1|C<4>,4|O<2>,6|H<1>}	112.1690	1.486	2	112.1690	1.486	2	112.1690	1.486	2	112.1690	1.486	2	112.1690	1.486	2	112.1690	1.486	2
