358    826     SP-NON_SP2    Y    3:6:    2:2:2:2:2:2:    C[5,6a]-3:P[3x5]-6:     O[5]-2:O[5]-2:O[5]-2:O[5]-2:O[5]-2:O[5]-2:     O[5](C[5,6a]C[5,6a]C[6a])(P[3x5]O[5]5)    P[3x5](O[5]C[5,6a])6     O[5](C[5,6a]C[5,6a]C[6a])(P[3x5]O[5]5){1|Cl<1>,6|C<3>}    P[3x5](O[5]C[5,6a])6{6|C<3>}   1.7126    0.0114    5     1.7126     0.0114    5
358    957     SP-NON_SP2    Y    3:5:    4:2:2:2:1:    C[5,6a]-3:P[3x5]-5:     C[3x5]-4:O[5]-2:O[5]-2:O[5]-2:H-1:     O[5](C[5,6a]C[5,6a]C[6a])(P[3x5]C[3x5]O[5]2H)    P[3x5](C[3x5]C[5,6a]3)(O[5]C[5,6a])3(H)     O[5](C[5,6a]C[5,6a]C[6a])(P[3x5]C[3x5]O[5]2H){1|H<1>,6|C<3>}    P[3x5](C[3x5]C[5,6a]3)(O[5]C[5,6a])3(H){6|C<3>}   1.6497    0.0010    4     1.6497     0.0010    4
358    957     SP-NON_SP2    Y    5:3:    3:2:2:2:2:    P[5]-5:C[5]-3:     N[5]-3:O[5]-2:O-2:O-2:N-2:     O[5](P[5]N[5]NOO)(C[5]N[5]O)    P[5](N[5]N[5]C)(O[5]C[5])(OC[6])2(NC)     O[5](P[5]N[5]NOO)(C[5]N[5]O){1|C<3>}    P[5](N[5]N[5]C)(O[5]C[5])(OC[6])2(NC){1|O<2>}   1.6401    0.0000    1     1.6401     0.0000    1
358    957     SP-NON_SP2    Y    5:3:    3:3:2:2:1:    P[5,5]-5:C[5]-3:     N[5]-3:N[5]-3:O[5]-2:O[5]-2:H-1:     O[5](P[5,5]N[5]2O[5]H)(C[5]C[5]O)    P[5,5](N[5]C[5]H)2(O[5]C[5])2(H)     O[5](P[5,5]N[5]2O[5]H)(C[5]C[5]O){1|C<3>,2|C<4>,3|H<1>}    P[5,5](N[5]C[5]H)2(O[5]C[5])2(H){2|C<4>,2|H<1>,2|O<1>}   1.7414    0.0000    1     1.7414     0.0000    1
358    957     SP-NON_SP2    Y    5:3:    3:3:3:2:2:    P[5,5]-5:C[5]-3:     C[5,6a]-3:C[5,6a]-3:C[6a]-3:O[5]-2:O[5]-2:     O[5](P[5,5]C[5,6a]2C[6a]O[5])(C[5]C[5,6a]O)    P[5,5](C[5,6a]C[5,6a]C[6a])2(C[6a]C[6a]2)(O[5]C[5])2     O[5](P[5,5]C[5,6a]2C[6a]O[5])(C[5]C[5,6a]O){7|C<3>}    P[5,5](C[5,6a]C[5,6a]C[6a])2(C[6a]C[6a]2)(O[5]C[5])2{1|C<4>,2|O<1>,3|H<1>,6|C<3>}   1.7843    0.0000    1     1.7843     0.0000    1
358    957     SP-NON_SP3    Y    5:4:    3:3:3:2:2:    P[5,5]-5:C[5]-4:     C[5,6a]-3:C[5,6a]-3:C[6a]-3:O[5]-2:O[5]-2:     O[5](P[5,5]C[5,6a]2C[6a]O[5])(C[5]C[5,6a]CC)    P[5,5](C[5,6a]C[5,6a]C[6a])2(C[6a]C[6a]2)(O[5]C[5])2     O[5](P[5,5]C[5,6a]2C[6a]O[5])(C[5]C[5,6a]CC){1|C<4>,6|C<3>}    P[5,5](C[5,6a]C[5,6a]C[6a])2(C[6a]C[6a]2)(O[5]C[5])2{2|H<1>,6|C<3>,6|C<4>}   1.7663    0.0000    1     1.7663     0.0000    1
358    979     SP-NON_SP3    Y    5:4:    3:4:3:2:1:    S[4,5]-5:C[5]-4:     C[5,6a]-3:C[4]-4:N[4]-3:O[5]-2:O-1:     O[5](S[4,5]C[5,6a]C[4]N[4]O)(C[5]C[5,6a]CC)    S[4,5](C[5,6a]C[5,6a]C[6a])(C[4]C[6a]C[4]H)(N[4]C[6a]C[4])(O[5]C[5])(O)     O[5](S[4,5]C[5,6a]C[4]N[4]O)(C[5]C[5,6a]CC){1|C<4>,1|H<1>,4|C<3>}    S[4,5](C[5,6a]C[5,6a]C[6a])(C[4]C[6a]C[4]H)(N[4]C[6a]C[4])(O[5]C[5])(O){1|H<1>,4|C<4>,6|C<3>}   1.8382    0.0000    2     1.8382     0.0000    2
358    989     SP-NON_SP2    Y    3:3:    3:2:2:    Se[5,5]-3:C[5]-3:     C[5,5]-3:O[5]-2:S[5]-2:     O[5](Se[5,5]C[5,5]S[5])(C[5]C[5]C)    Se[5,5](C[5,5]C[5]N[5])(O[5]C[5])(S[5]C[5])     O[5](Se[5,5]C[5,5]S[5])(C[5]C[5]C){1|N<2>,2|C<3>}    Se[5,5](C[5,5]C[5]N[5])(O[5]C[5])(S[5]C[5]){1|C<3>,1|C<4>,1|N<3>}   2.1646    0.0000    1     2.1646     0.0000    1
358    989     SP-NON_SP3    Y    3:4:    3:2:2:    Se[5,5]-3:C[5]-4:     C[5,5,6a]-3:O[5]-2:O[5]-2:     O[5](Se[5,5]C[5,5,6a]O[5])(C[5]C[5,6a]CC)    Se[5,5](C[5,5,6a]C[5,6a]2)(O[5]C[5])2     O[5](Se[5,5]C[5,5,6a]O[5])(C[5]C[5,6a]CC){1|C<4>,2|C<3>}    Se[5,5](C[5,5,6a]C[5,6a]2)(O[5]C[5])2{2|C<3>,4|C<4>}   2.0502    0.0037    2     2.0502     0.0037    2
362    466     SP-NON_SP3    Y    6:6:6:6:6:4:    6:3:3:1:    B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,22x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[3x6]-4:     C[5x3,5x5,22x6]-6:C[6,6,6a]-3:C[6,6]-3:H-1:     C[5x3,5x5,22x6](B[5x3,5x5,20x6]B[5x3,5x5,20x6]3C[5x3,5x5,22x6]H)2(C[5x3,5x5,22x6]B[5x3,5x5,20x6]4C[3x6])(B[5x3,5x5,20x6]B[5x3,5x5,20x6]4H)2(C[3x6]C[6,6,6a]C[6,6]H)    C[3x6](C[5x3,5x5,22x6]B[5x3,5x5,20x6]4C[5x3,5x5,22x6])(C[6,6,6a]C[6,6,6a]C[6a])(C[6,6]C[6,6]H)(H)     C[5x3,5x5,22x6](B[5x3,5x5,20x6]B[5x3,5x5,20x6]3C[5x3,5x5,22x6]H)2(C[5x3,5x5,22x6]B[5x3,5x5,20x6]4C[3x6])(B[5x3,5x5,20x6]B[5x3,5x5,20x6]4H)2(C[3x6]C[6,6,6a]C[6,6]H){1|B<6>,3|C<3>,7|H<1>}    C[3x6](C[5x3,5x5,22x6]B[5x3,5x5,20x6]4C[5x3,5x5,22x6])(C[6,6,6a]C[6,6,6a]C[6a])(C[6,6]C[6,6]H)(H){1|C<4>,2|C<3>,5|B<6>,6|H<1>}   1.5723    0.0000    1     1.5723     0.0000    1
362    466     SP-NON_SP3    Y    6:6:6:6:6:4:    6:3:3:1:    B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[5x3,5x5,22x6]-6:B[5x3,5x5,20x6]-6:B[5x3,5x5,20x6]-6:C[3x6]-4:     C[5x3,5x5,22x6]-6:C[6,6]-3:C[6,6]-3:H-1:     C[5x3,5x5,22x6](B[5x3,5x5,20x6]B[5x3,5x5,20x6]3C[5x3,5x5,22x6]H)2(C[5x3,5x5,22x6]B[5x3,5x5,20x6]4C[3x6])(B[5x3,5x5,20x6]B[5x3,5x5,20x6]4H)2(C[3x6]C[6,6]2H)    C[3x6](C[5x3,5x5,22x6]B[5x3,5x5,20x6]4C[5x3,5x5,22x6])(C[6,6]C[6,6]H)2(H)     C[5x3,5x5,22x6](B[5x3,5x5,20x6]B[5x3,5x5,20x6]3C[5x3,5x5,22x6]H)2(C[5x3,5x5,22x6]B[5x3,5x5,20x6]4C[3x6])(B[5x3,5x5,20x6]B[5x3,5x5,20x6]4H)2(C[3x6]C[6,6]2H){1|Si<4>,1|B<6>,2|C<3>,7|H<1>}    C[3x6](C[5x3,5x5,22x6]B[5x3,5x5,20x6]4C[5x3,5x5,22x6])(C[6,6]C[6,6]H)2(H){1|C<4>,5|B<6>,6|H<1>}   1.5701    0.0000    1     1.5701     0.0000    1
